Game,Champion,Kills,Deaths,Assists,CS,Damage,Gold,Win/Loss,Performance(OP.GG),Game Time
1,Khazix,6,3,10,194,16528,11014,Win,6.4,24M 21S
2,Viego,10,9,5,193,20011,13504,Loss,4.0,29M 28S
3,Vi,8,3,10,229,19827,13843,Win,7.4,28M 57S
4,Lilliah,11,5,12,290,39073,17055,Win,8.1,32M 29S
5,Pantheon,9,3,5,195,21320,11977,Win,6.2,26M 20S
6,Nidalee,9,4,17,186,28925,12391,Loss,8.5,29M 28S
7,Viego,5,9,2,192,16734,12247,Loss,1.8,27M 59S
8,Naafiri,5,4,7,198,15622,12066,Loss,5.3,28M 05S
9,Lilliah,10,2,1,122,11684,7908,Win,9.6,15M 16S
10,Zyra,3,1,11,155,10730,8335,Win,10.0,18M 04S
