Game,Champion,Kills,Deaths,Assists,CS,Damage,Gold,Win/Loss,Performance(OP.GG),Game Time
1,Ryze,3,2,12,205,25098,11244,Win,7.1,28M 05S
2,Ryze,7,5,7,142,12229,8980,Win,6.4,19M 35S
3,Syndra,4,1,10,233,24047,12243,Win,7.2,24M 25S
4,Azir,8,10,11,289,33254,16789,Loss,4.1,43M 54S
5,Taliyah,2,6,4,217,13974,9733,Loss,3.0,27M 12S
6,Aurora,14,6,8,225,45407,16223,Win,7.1,32M 05S
7,Zed,7,9,4,172,15768,10854,Loss,3.5,28M 32S
8,Taliyah,10,7,12,267,25916,16051,Win,6.1,34M 34S
9,Viktor,1,6,0,107,4641,4603,Loss,1.0,15M 12S
10,Gragas,6,8,2,179,17997,10269,Loss,2.6,24M 54S
