Game,Champion,Kills,Deaths,Assists,CS,Damage,Gold,Win/Loss,Performance(OP.GG),Game Time
1,Azir,6,8,6,209,23492,9576,Loss,5.0,25M 32S
2,Zoe,12,6,12,201,37663,12593,Win,6.0,30M 45S
3,Corki,9,6,8,266,35799,14562,Win,5.7,29M 46S
4,Ahri,6,2,11,246,25873,12507,Win,10.0,25M 07S
5,Zoe,3,1,6,133,13753,7121,Win,9.1,15M 37S
6,Corki,3,10,5,335,43207,15366,Loss,2.7,36M 20S
7,Xin Zhao,6,3,3,132,10453,7814,Win,5.4,19M 33S
8,Viktor,6,5,10,215,29290,12959,Win,5.4,27M 33S
9,Jax,10,9,15,271,46416,17726,Loss,5.0,45M 20S
10,Sylas,18,10,11,225,59942,16088,Win,6.6,33M 04S
