Game,Champion,Kills,Deaths,Assists,CS,Damage,Gold,Win/Loss,Game Time
1,Sylas,13,0,6,246,29200,15200,Win,28M 05S
2,Viktor,6,0,12,264,30500,14300,Win,28M 48S
3,Ryze,6,0,4,262,22800,12900,Win,24M 34S
4,Sylas,2,3,6,285,18300,13500,Win,32M 24S
5,Viktor,5,1,3,294,23000,13700,Win,28M 07S
6,Viktor,7,0,7,458,54000,22600,Win,50M 39S
7,Azir,3,2,15,310,23800,14600,Win,29M 10S
8,Aurelion,2,1,0,382,29500,15300,Loss,38M 59S
9,Ahri,4,3,9,247,16100,12300,Win,27M 16S
10,Azir,3,2,6,341,24400,15500,Win,32M 35S
