Game,Champion,Kills,Deaths,Assists,CS,Damage,Gold,Win/Loss,Performance(OP.GG),Game Time
1,Jayce,12,2,7,327,70810,21258,Win,7.8,40M 09S
2,Viktor,12,4,10,214,37472,13272,Win,8.8,26M 41S
3,Orianna,5,4,4,220,23306,10333,Loss,5.4,23M 48S
4,Yone,4,7,16,234,29644,13445,Win,5.6,29M 41S
5,Yone,5,4,4,266,24291,13105,Loss,4.3,28M 28S
6,Sylas,3,4,11,180,22045,9443,Loss,5.4,26M 04S
7,Sylas,3,6,8,290,22854,13932,Loss,3.3,38M 33S
8,Viktor,7,3,10,207,25315,11464,Win,7.0,23M 59S
9,Sylas,3,5,5,236,20173,11499,Loss,4.4,28M 26S
10,Galio,2,5,11,206,16990,10926,Loss,5.1,26M 52S
