Game,Champion,Kills,Deaths,Assists,CS,Damage,Gold,Win/Loss,Game Time
1,Viktor,5,3,7,377,19000,33500,Win,44M 36S
2,Viktor,1,2,1,249,26000,14300,Loss,28M 32S
3,Viktor,2,1,14,304,30500,14100,Win,35M 21S
4,Viktor,0,7,1,241,24300,8900,Loss,27M 54S
5,Viktor,2,2,5,270,16800,11700,Win,30M 11S
6,Taliyah,3,4,5,445,42600,19500,Loss,50M 39S
7,Sylas,3,3,7,284,28600,13300,Win,34M 05S
8,Zoe,3,2,6,356,24900,16100,Loss,43M 08S
9,Corki,10,4,8,275,40300,16600,Win,30M 59S
10,Galio,2,1,11,296,11700,14700,Win,40M 41S
