Game,Champion,Kills,Deaths,Assists,CS,Damage,Gold,Win/Loss,Performance(OP.GG),Game Time
1,Ezreal,9,9,8,292,56969,16288,Loss,4.4,39M 10S
2,Galio,8,5,18,286,34633,15337,Win,6.6,34M 57S
3,Varus,6,11,5,146,16763,9621,Loss,3.2,24M 54S
4,Tristana,1,6,10,356,20843,17031,Loss,3.2,43M 54S
5,Tristana,5,4,2,147,13329,9033,Win,6.0,15M 33S
6,Tristana,3,3,2,176,13172,8336,Loss,4.9,20M 34S
7,Zeri,6,7,14,338,34938,17965,Loss,5.0,37M 24S
8,Tristana,8,2,8,152,15935,9116,Win,10.0,18M 45S
9,Ezreal,5,6,3,144,18020,7859,Loss,4.2,21M 03S
10,Varus,8,4,6,290,28834,15246,Loss,5.5,33M 05S
