Game,Champion,Kills,Deaths,Assists,CS,Damage,Gold,Win/Loss,Game Time
1,Ezreal,2,2,5,466,38900,19300,Loss,45M 35S
2,Varus,5,1,4,365,33700,16100,Win,36M 08S
3,Ashe,12,1,7,327,34900,17700,Win,35M 38S
4,Caitilin,4,1,1,271,10800,12900,Win,29M 02S
5,Caitilin,1,3,1,223,10400,9500,Loss,24M 37S
6,Caitilin,0,0,4,256,12500,10400,Win,26M 12S
7,Sivir,5,0,9,279,21300,13400,Win,29M 10S
8,Sivir,2,0,6,325,19600,13300,Win,30M 29S
9,Ezreal,3,2,10,243,26700,11700,Win,27M 57S
10,Ezreal,7,3,11,240,29600,13800,Win,29M 28S
