Game,Champion,Kills,Deaths,Assists,CS,Damage,Gold,Win/Loss,Performance(OP.GG),Game Time
1,Kaisa,9,7,10,296,34003,17579,Win,5.0,32M 43S
2,Kalista,8,3,8,142,19623,9798,Win,8.9,18M 25S
3,Jhin,1,3,3,95,7800,5146,Loss,4.2,15M 31S
4,Xayah,16,6,12,308,50511,16470,Win,9.4,29M 41S
5,Ezreal,8,1,4,173,21703,10586,Win,10.0,18M 32S
6,Varus,4,1,3,170,10001,9075,Win,8.7,17M 36S
7,Ezreal,4,3,6,181,15155,8573,Win,5.8,20M 31S
8,Varus,16,10,7,288,50033,18988,Loss,5.6,38M 40S
9,Kaisa,13,9,10,321,50482,17760,Win,6.6,30M 49S
10,Kaisa,1,4,2,180,8255,8002,Loss,2.8,20M 36S
