Game,Champion,Kills,Deaths,Assists,CS,Damage,Gold,Win/Loss,Game Time
1,Xayah,7,0,12,275,27600,13700,Win,28M 05S
2,Miss Fortune,7,1,5,304,18100,14600,Win,28M 48S
3,Jhin,11,0,7,330,29700,17500,Win,33M 53S
4,Jhin,6,0,5,229,21900,11700,Win,24M 34S
5,Kalista,2,1,7,337,11700,14400,Win,32M 24S
6,Ezreal,7,0,7,280,27000,13600,Win,28M 07S
7,Xayah,5,2,8,539,34800,25200,Win,50M 39S
8,Corki,11,3,8,255,33100,14500,Win,29M 10S
9,Ashe,11,2,5,241,19000,14600,Win,27M 16S
10,Zeri,8,1,4,380,33700,19000,Win,32M 35S
