Game,Champion,Kills,Deaths,Assists,CS,Damage,Gold,Win/Loss,Performance(OP.GG),Game Time
1,Mordekaiser,8,9,15,277,47959,16946,Win,4.8,43M 03S
2,Renekton,2,5,2,175,18145,7392,Loss,3.9,29M 52S
3,Sion,5,8,6,210,20303,11788,Win,3.7,28M 53S
4,Sion,1,7,5,216,20846,10833,Loss,2.5,27M 42S
5,Renekton,3,9,3,207,20647,11264,Loss,2.2,28M 29S
6,Akali,6,8,9,190,31174,11613,Win,4.8,29M 41S
7,Akali,13,3,10,239,36963,15587,Win,5.1,34M 01S
8,Viktor,4,5,2,181,21054,9380,Loss,4.8,21M 43S
9,Ambessa,9,5,6,347,44664,18630,Win,6.3,36M 09S
10,Ambessa,7,3,7,267,36538,14569,Win,5.5,30M 49S
