Game,Champion,Kills,Deaths,Assists,CS,Damage,Gold,Win/Loss,Game Time
1,Renekton,2,6,10,292,24800,15100,Win,35M 24S
2,Jax,9,1,8,178,24300,12100,Win,27M 32S
3,Nidalee,1,4,3,296,29800,15100,Win,32M 00S
4,Jax,5,2,6,236,22900,12100,Win,27M 54S
5,Aurora,1,1,11,268,16600,12600,Win,29M 31S
6,Jax,4,2,10,240,17700,13100,Win,30M 31S
7,Aatrox,2,6,2,233,14700,10300,Loss,29M 10S
8,Camille,5,2,5,244,21900,14600,Win,35M 53S
9,Jax,3,5,7,284,17700,13700,Win,33M 56S
10,Ambessa,5,1,11,212,23000,11100,Win,27M 37S
